96,X37C38V33,"GL-SFL serie","Fondo Sur",off
97,C56K26Q31,"GL-SFL serie","Fondo Sur",on
98,P76Q71Y56,"GL-SFL serie","Fondo Sur",off
99,R25C10G80,HS-HM600W-A,"Grada Oeste",on
100,D01A68V94,Arenapro,"Grada Oeste",on
101,A19W15L90,HS-HM600W-A,"Grada Oeste",off
102,R81I08O56,Arenapro,"Fondo Sur",off
103,O74M96W28,Arenapro,"Grada Oeste",on
104,K65V26W33,Arenapro,"Grada Este",off
105,U64W16H13,Arenapro,"Fondo Norte",on
106,H43P76J40,HS-HM600W-A,"Grada Este",on
107,O85J51O52,HS-HM600W-A,"Fondo Sur",on
108,F53L25G46,"GL-SFL serie","Grada Oeste",on
109,P52O57F82,"GL-SFL serie","Grada Este",on
110,N22W34Y26,Arenapro,"Fondo Norte",off
111,B89A81M55,HS-HM600W-A,"Fondo Sur",on
112,X86C31E62,Arenapro,"Fondo Norte",on
113,P85R25X93,"GL-SFL serie","Grada Este",off
114,K18A54J05,"GL-SFL serie","Fondo Norte",off
115,Y12K75O92,"GL-SFL serie","Fondo Sur",on
116,D07B58V27,"GL-SFL serie","Fondo Sur",on
117,M51M79V51,HS-HM600W-A,"Grada Oeste",off
118,J11L38F35,Arenapro,"Grada Oeste",off
119,B24X69U16,HS-HM600W-A,"Fondo Norte",on
120,W35C43S74,HS-HM600W-A,"Fondo Sur",on
121,Q13O98Y36,HS-HM600W-A,"Grada Este",off
122,R38P78G15,Arenapro,"Fondo Sur",off
123,M75S18M15,HS-HM600W-A,"Fondo Sur",off
124,"Y12O40S""071""",Arenapro,"Grada Este",on
125,J25J69W25,HS-HM600W-A,"Fondo Norte",on
126,C23C48X81,Arenapro,"Grada Oeste",off
127,Y21J11F99,Arenapro,"Grada Oeste",off
128,Y58V17N84,HS-HM600W-A,"Fondo Norte",on
129,M80D33G60,HS-HM600W-A,"Grada Este",on
130,I45I83Q86,Arenapro,"Grada Este",off
131,M35I27C54,"GL-SFL serie","Grada Este",off
132,R24G76R59,"GL-SFL serie","Fondo Sur",on
133,O19P15W36,HS-HM600W-A,"Grada Oeste",off
134,I45R73B68,Arenapro,"Fondo Norte",on
135,A07D87F74,HS-HM600W-A,"Grada Este",off
136,X26O65A09,Arenapro,"Fondo Sur",on
137,T44N70D87,Arenapro,"Grada Oeste",on
138,E96U41V32,"GL-SFL serie","Grada Oeste",off
139,D74V79G31,"GL-SFL serie","Fondo Sur",on
140,G15X14I26,HS-HM600W-A,"Fondo Norte",on
141,B29U37H26,"GL-SFL serie","Grada Oeste",off
142,I67L08E74,"GL-SFL serie","Fondo Sur",on
143,E25S53C53,"GL-SFL serie","Grada Este",on
144,N81F03H00,Arenapro,"Fondo Norte",on
145,F82D34T08,Arenapro,"Fondo Sur",off
146,L96I87F14,"GL-SFL serie","Fondo Norte",on
147,H98K91W68,"GL-SFL serie","Grada Este",on
148,O71N61D56,Arenapro,"Fondo Norte",off
149,W71P28C75,Arenapro,"Grada Este",on
150,C08J35U30,Arenapro,"Fondo Norte",on
151,V85P77S69,HS-HM600W-A,"Grada Oeste",on
152,S71V75N94,HS-HM600W-A,"Fondo Sur",on
153,S44A34A53,HS-HM600W-A,"Fondo Norte",off
154,E23T41C83,"GL-SFL serie","Grada Oeste",on
155,D67T64B65,HS-HM600W-A,"Fondo Sur",on
156,G51F55R12,Arenapro,"Fondo Sur",on
157,R18B57S14,HS-HM600W-A,"Fondo Sur",off
158,B12X76J62,Arenapro,"Fondo Sur",off
159,B89C47M27,HS-HM600W-A,"Fondo Sur",on
160,N69M85M36,"GL-SFL serie","Grada Este",off
